strain	age	age_sd	isotype
MY2147	70.4316112797727	0.346776223193443	MY2147
MY2212	63.7979224171202	0.337687165424064	MY2212
MY23	67.2635262586242	1.80078057971725	MY23
MY2573	62.9217131439852	0.33425102798925	MY2573
MY2585	70.2583310876975	1.63152470159608	MY2585
MY2713	68.2835907855575	1.79113863689631	MY2713
MY518	69.2644220614548	1.02100719835422	MY518
MY772	68.813239674542	2.21936782843802	MY772
MY795	68.7936230490241	0.388389369976652	MY795
MY920	64.1706383019612	0.285846836554797	MY920
N2	65.5372632130449	0.609063842983452	N2
NIC1	64.6054735009424	1.78936531167815	NIC1
NIC166	66.1388397289286	0.29771635814847	NIC166
NIC199	66.0669121020294	1.88646265417232	NIC199
NIC2	66.9823546262003	1.79878501745341	NIC2
NIC207	65.0468475750962	0.137316378625634	NIC207
NIC231	64.0006275474723	0.995885930310696	NIC231
NIC236	65.5176465875269	0.495101244095737	NIC236
NIC242	65.3541747082107	0.894727457846933	NIC242
NIC251	66.5638666151508	0.460190035590552	NIC251
NIC252	68.9701726786856	1.67294281195798	NIC252
NIC255	65.0403086999235	0.284497434039322	NIC255
NIC256	69.6273296335369	1.73388111596719	NIC256
NIC258	60.7704232121837	1.25254880567278	NIC258
NIC259	69.467127191807	0.971831729568083	NIC259
NIC260	64.3014158054142	1.05419971850806	NIC260
NIC261	66.0734509772021	2.0345886363808	NIC261
NIC265	66.596560991014	0.475677888981919	NIC265
NIC266	65.4489883982141	0.56871300603724	NIC266
NIC267	64.1510216764432	0.608537107744399	NIC267
NIC268	62.2907116898246	0.679681397459143	NIC268
NIC271	66.5115556137696	0.75627964257851	NIC271
NIC274	64.1248661757527	1.109683914219	NIC274
NIC275	64.5171986861116	0.166452587132855	NIC275
NIC276	65.6811184668431	0.556688358076788	NIC276
NIC277	69.6632934469864	1.80241813875222	NIC277
NIC3	68.3228240365934	1.66452587132851	NIC3
NIC501	67.7343252710549	2.0934717171593	NIC501
NIC511	68.4928347910822	2.32209258398226	NIC511
NIC513	64.2098715529971	1.91303171938962	NIC513
NIC514	64.0790940495441	0.248391203828543	NIC514
NIC515	71.4549452442923	0.996658434057346	NIC515
NIC523	62.9936407708844	0.487003553005294	NIC523
NIC526	63.2028847764091	0.49935776139855	NIC526
NIC527	63.0590295226108	0.334251027989251	NIC527
NIC528	63.6638754760809	0.374518321048914	NIC528
NIC529	63.5559840357322	0.623734662076119	NIC529
PS2025	64.5368153116295	1.24205929601445	PS2025
PX179	65.6549629661525	0.448616399923198	PX179
QG2075	66.5115556137696	1.66109310006579	QG2075
QG556	62.2220535005118	0.278113666221185	QG556
QW947	67.0967849417217	0.901618180302949	QW947
QX1212	66.5573277399781	0.655324490866853	QX1212
QX1233	63.6834921015988	0.346776223193438	QX1233
QX1791	63.5559840357322	0	QX1791
QX1792	62.496686257763	1.03634467375553	QX1792
QX1793	68.1593521572771	0.843590927277499	QX1793
QX1794	69.8725374525112	1.13742601207449	QX1794
RC301	64.249104804033	0.345571974624823	RC301
WN2050	66.8515771227473	0.249678880699283	WN2050
XZ1513	67.2373707579336	1.75207692994122	XZ1513
XZ1515	62.7190080136331	1.69094098248021	XZ1515
XZ1516	64.7199038164637	0.344456623760785	XZ1516
