trait	eQTL_classification	n_dis	both	eQTL_count	distant_both
F46F3.1a.1	Distant eQTL	3	single	131	NA
F46F3.4a.1	Distant eQTL	1	single	2011	NA
F46F5.16.1	Distant eQTL	1	single	2011	NA
F46F5.1b.1	Distant eQTL	1	both	2011	NA
F46F5.2	Distant eQTL	1	single	2011	NA
F46F5.5.1	Distant eQTL	2	single	353	NA
F46F5.6.1	Distant eQTL	1	single	2011	NA
F46G10.4.1	Distant eQTL	1	single	2011	NA
F46G10.5a.2	Distant eQTL	1	single	2011	NA
F46H5.7b.1	Distant eQTL	1	single	2011	NA
F47B7.6	Distant eQTL	1	single	2011	NA
F47B8.5b.1	Distant eQTL	2	single	353	NA
F47C10.6.1	Distant eQTL	1	single	2011	NA
F47C12.12	Distant eQTL	1	both	2011	NA
F47C12.8.1	Distant eQTL	1	both	2011	NA
F47D12.4a.1	Distant eQTL	1	single	2011	NA
F47D12.4b.1	Distant eQTL	1	single	2011	NA
F47E1.4.1	Distant eQTL	1	both	2011	NA
F47F6.1a.1	Distant eQTL	2	single	353	NA
F47F6.1e.1	Distant eQTL	1	single	2011	NA
F47H4.12	Distant eQTL	1	single	2011	NA
F48E3.1.1	Distant eQTL	1	single	2011	NA
F48E3.1.2	Distant eQTL	1	single	2011	NA
F48E3.4.1	Distant eQTL	2	single	353	NA
F48E3.6.1	Distant eQTL	1	single	2011	NA
F48E3.8e.1	Distant eQTL	1	single	2011	NA
F48E3.8f.1	Distant eQTL	1	single	2011	NA
F48F5.5.2	Distant eQTL	2	both	353	NA
F48F7.1a.2	Distant eQTL	1	both	2011	NA
F48G7.12a.1	Distant eQTL	2	both	353	NA
F49A5.3.1	Distant eQTL	1	single	2011	NA
F49A5.4b.1	Distant eQTL	2	single	353	NA
F49C12.8.1	Distant eQTL	1	single	2011	NA
F49C5.11b.1	Distant eQTL	1	single	2011	NA
F49D11.6.1	Distant eQTL	1	single	2011	NA
F49E10.4.1	Distant eQTL	1	single	2011	NA
F49E11.10a.1	Distant eQTL	1	single	2011	NA
F49E11.1k.1	Distant eQTL	1	single	2011	NA
F49E11.6.1	Distant eQTL	1	both	2011	NA
F49E12.12.1	Distant eQTL	1	single	2011	NA
F49E12.6.2	Distant eQTL	1	single	2011	NA
F49E12.8.1	Distant eQTL	1	single	2011	NA
F49E12.9a.1	Distant eQTL	1	single	2011	NA
F49E2.5k.1	Distant eQTL	1	single	2011	NA
F49E2.5r.1	Distant eQTL	3	single	131	NA
F49F1.1.1	Distant eQTL	1	single	2011	NA
F49F1.5a.1	Distant eQTL	2	single	353	NA
F52B11.4.1	Distant eQTL	1	single	2011	NA
F52B5.1a.2	Distant eQTL	2	single	353	NA
F52B5.7.1	Distant eQTL	1	single	2011	NA
F52C6.4.2	Distant eQTL	1	both	2011	NA
F52C6.8.1	Distant eQTL	1	both	2011	NA
F52C9.8a.1	Distant eQTL	1	single	2011	NA
F52C9.8g.1	Distant eQTL	1	single	2011	NA
F52D1.3b.1	Distant eQTL	1	single	2011	NA
F52D1.3c.1	Distant eQTL	6	single	2	0/2
F52D2.5.1	Distant eQTL	1	single	2011	NA
F52D2.8	Distant eQTL	1	single	2011	NA
F52E1.12	Distant eQTL	1	single	2011	NA
F52E10.1a.1	Distant eQTL	1	single	2011	NA
F52E4.6.1	Distant eQTL	1	single	2011	NA
F52F10.2.1	Distant eQTL	1	single	2011	NA
F52F10.4a.1	Distant eQTL	2	both	353	NA
F52F12.7b.1	Distant eQTL	1	single	2011	NA
F52G2.2a.2	Distant eQTL	1	single	2011	NA
F52G3.4	Distant eQTL	4	single	42	NA
F52G3.5.1	Distant eQTL	2	single	353	NA
F52G3.8.2	Distant eQTL	1	single	2011	NA
F52H2.2a.1	Distant eQTL	1	single	2011	NA
F53B1.4.2	Distant eQTL	1	single	2011	NA
F53B2.7	Distant eQTL	3	single	131	NA
F53B3.1.2	Distant eQTL	1	single	2011	NA
F53B6.9.1	Distant eQTL	2	single	353	NA
F53B7.2a.1	Distant eQTL	3	single	131	NA
F53B7.3.1	Distant eQTL	1	single	2011	NA
F53E10.5.1	Distant eQTL	1	single	2011	NA
F53E4.1a.1	Distant eQTL	1	single	2011	NA
F53E4.1a.2	Distant eQTL	2	single	353	NA
F53F4.2.1	Distant eQTL	1	both	2011	NA
F53F4.8	Distant eQTL	3	both	131	NA
F53F8.1.2	Distant eQTL	1	single	2011	NA
F53F8.7.1	Distant eQTL	1	single	2011	NA
F53G2.13.2	Distant eQTL	1	single	2011	NA
F53H1.1c.1	Distant eQTL	1	both	2011	NA
F54B11.11.2	Distant eQTL	1	single	2011	NA
F54C4.4.1	Distant eQTL	2	single	353	NA
F54D11.3	Distant eQTL	1	both	2011	NA
F54D11.4.1	Distant eQTL	1	single	2011	NA
F54D7.2.2	Distant eQTL	1	single	2011	NA
F54D8.6.2	Distant eQTL	1	single	2011	NA
F54E12.1.1	Distant eQTL	3	single	131	NA
F54E12.3.1	Distant eQTL	2	single	353	NA
F54E2.3f.1	Distant eQTL	1	single	2011	NA
F54E2.3l.1	Distant eQTL	1	single	2011	NA
F54E4.1a.1	Distant eQTL	1	single	2011	NA
F54E7.9.1	Distant eQTL	1	single	2011	NA
F54F12.1.1	Distant eQTL	1	single	2011	NA
F54F2.7.2	Distant eQTL	1	single	2011	NA
F54F3.3.2	Distant eQTL	1	single	2011	NA
F54F7.5.2	Distant eQTL	1	single	2011	NA
F54F7.6.2	Distant eQTL	1	single	2011	NA
F54H12.2.1	Distant eQTL	1	single	2011	NA
F54H12.4.1	Distant eQTL	1	both	2011	NA
F55A3.2.2	Distant eQTL	1	single	2011	NA
F55A3.7	Distant eQTL	1	single	2011	NA
F55A4.2.2	Distant eQTL	1	both	2011	NA
F55B11.2.1	Distant eQTL	1	single	2011	NA
F55B11.4.1	Distant eQTL	1	single	2011	NA
F55B12.11	Distant eQTL	1	single	2011	NA
F55C10.2.1	Distant eQTL	1	single	2011	NA
F55C10.3.1	Distant eQTL	1	single	2011	NA
F55C9.13.1	Distant eQTL	1	single	2011	NA
F55F8.4.2	Distant eQTL	1	single	2011	NA
F55F8.8.1	Distant eQTL	1	single	2011	NA
F55G1.1.1	Distant eQTL	1	single	2011	NA
F55G1.10.1	Distant eQTL	1	single	2011	NA
F55G1.2.1	Distant eQTL	1	single	2011	NA
F55G11.1.1	Distant eQTL	1	both	2011	NA
F55G11.9	Distant eQTL	1	single	2011	NA
F55H12.6b.1	Distant eQTL	1	single	2011	NA
F56A12.1.1	Distant eQTL	2	single	353	NA
F56A4.11	Distant eQTL	5	both	14	NA
F56B3.12.1	Distant eQTL	1	both	2011	NA
F56B3.5.2	Distant eQTL	1	single	2011	NA
F56C4.3a.1	Distant eQTL	1	single	2011	NA
F56D1.4b.1	Distant eQTL	1	single	2011	NA
F56D1.5.2	Distant eQTL	1	single	2011	NA
F56D2.3a.1	Distant eQTL	2	single	353	NA
F56D3.1.2	Distant eQTL	2	single	353	NA
F56D5.9.1	Distant eQTL	2	both	353	NA
F56D6.16	Distant eQTL	2	single	353	NA
F56D6.17	Distant eQTL	1	single	2011	NA
F56D6.2.2	Distant eQTL	1	single	2011	NA
F56E10.2a.1	Distant eQTL	2	single	353	NA
F56F11.4a.1	Distant eQTL	2	single	353	NA
F56F4.1.1	Distant eQTL	1	single	2011	NA
F56H1.1.1	Distant eQTL	1	single	2011	NA
F56H11.1a.2	Distant eQTL	1	single	2011	NA
F56H9.5.2	Distant eQTL	1	single	2011	NA
F57A8.2a.2	Distant eQTL	1	single	2011	NA
F57A8.2b.2	Distant eQTL	2	single	353	NA
F57B1.6a.1	Distant eQTL	1	single	2011	NA
F57B10.8.1	Distant eQTL	3	single	131	NA
F57B10.8.2	Distant eQTL	2	single	353	NA
F57B9.4a.1	Distant eQTL	1	single	2011	NA
F57B9.9.1	Distant eQTL	1	single	2011	NA
F57C12.1.1	Distant eQTL	1	single	2011	NA
F57C2.2.1	Distant eQTL	1	both	2011	NA
F57C7.1a.2	Distant eQTL	1	single	2011	NA
F57F10.1e.1	Distant eQTL	1	single	2011	NA
F57F5.1.1	Distant eQTL	1	single	2011	NA
F57F5.3.1	Distant eQTL	3	both	131	NA
F57H12.3.1	Distant eQTL	3	single	131	NA
F58A4.11.1	Distant eQTL	1	single	2011	NA
F58A4.12	Distant eQTL	1	single	2011	NA
F58A4.9.1	Distant eQTL	1	single	2011	NA
F58A4.9.2	Distant eQTL	1	single	2011	NA
F58B3.5a.1	Distant eQTL	1	single	2011	NA
F58B6.3a.1	Distant eQTL	1	single	2011	NA
F58D12.3.1	Distant eQTL	2	both	353	NA
F58D2.5.1	Distant eQTL	1	single	2011	NA
F58D5.1a.1	Distant eQTL	2	single	353	NA
F58D5.1a.2	Distant eQTL	1	single	2011	NA
F58D5.2b.1	Distant eQTL	1	both	2011	NA
F58D5.3.1	Distant eQTL	1	single	2011	NA
F58D5.4c.1	Distant eQTL	1	both	2011	NA
F58E1.12.1	Distant eQTL	1	both	2011	NA
F58E10.4.1	Distant eQTL	2	single	353	NA
F58E10.5.1	Distant eQTL	1	single	2011	NA
F58F9.8.1	Distant eQTL	1	single	2011	NA
F58G1.5.1	Distant eQTL	1	single	2011	NA
F58G11.2a.1	Distant eQTL	5	single	14	NA
F58G11.2c.1	Distant eQTL	3	both	131	NA
F58G4.6.1	Distant eQTL	2	single	353	NA
F58G6.9b.2	Distant eQTL	1	single	2011	NA
F58H1.2.1	Distant eQTL	1	single	2011	NA
F59A1.10.1	Distant eQTL	1	both	2011	NA
F59A2.1a.1	Distant eQTL	1	single	2011	NA
F59A2.3.2	Distant eQTL	1	single	2011	NA
F59A2.6a.1	Distant eQTL	1	single	2011	NA
F59A3.6e.1	Distant eQTL	1	single	2011	NA
F59A6.6a.1	Distant eQTL	1	single	2011	NA
F59A7.1.1	Distant eQTL	1	single	2011	NA
F59A7.2.1	Distant eQTL	1	single	2011	NA
F59A7.5d.2	Distant eQTL	1	both	2011	NA
F59B1.2.2	Distant eQTL	1	single	2011	NA
F59B10.5.2	Distant eQTL	1	single	2011	NA
F59C12.3.2	Distant eQTL	1	single	2011	NA
F59C12.4.1	Distant eQTL	1	both	2011	NA
F59D12.4.1	Distant eQTL	1	single	2011	NA
F59E12.11.1	Distant eQTL	1	single	2011	NA
F59E12.13.2	Distant eQTL	1	single	2011	NA
F59E12.15.1	Distant eQTL	1	both	2011	NA
F59E12.16c	Distant eQTL	2	single	353	NA
F59E12.4a.1	Distant eQTL	1	both	2011	NA
F59E12.4b.1	Distant eQTL	1	both	2011	NA
F59E12.5a.2	Distant eQTL	2	single	353	NA
F59E12.5b.1	Distant eQTL	1	both	2011	NA
F59F4.3.2	Distant eQTL	1	single	2011	NA
F59G1.1b.1	Distant eQTL	1	single	2011	NA
F59H6.10.2	Distant eQTL	2	both	353	NA
F59H6.11.1	Distant eQTL	1	both	2011	NA
F59H6.7.1	Distant eQTL	1	single	2011	NA
H02K04.1.1	Distant eQTL	1	single	2011	NA
H04D03.7.1	Distant eQTL	1	single	2011	NA
H04J21.3a.2	Distant eQTL	1	single	2011	NA
H05C05.1c.1	Distant eQTL	1	both	2011	NA
H05C05.3	Distant eQTL	1	single	2011	NA
H05L14.2a.1	Distant eQTL	1	single	2011	NA
H05L14.2d.1	Distant eQTL	1	single	2011	NA
H06I04.3a.2	Distant eQTL	1	single	2011	NA
H10D12.2	Distant eQTL	1	single	2011	NA
H10E21.5.2	Distant eQTL	1	single	2011	NA
H11E01.3c.1	Distant eQTL	1	single	2011	NA
H11L12.1.1	Distant eQTL	2	single	353	NA
H12C20.2.2	Distant eQTL	1	single	2011	NA
H12D21.12.1	Distant eQTL	1	both	2011	NA
H13N06.2.1	Distant eQTL	3	single	131	NA
H13N06.5.1	Distant eQTL	1	single	2011	NA
H14A12.3.1	Distant eQTL	1	single	2011	NA
H14A12.4.1	Distant eQTL	1	single	2011	NA
H14E04.2c.2	Distant eQTL	1	single	2011	NA
H14N18.4b.1	Distant eQTL	1	single	2011	NA
H19J13.1.1	Distant eQTL	4	single	42	NA
H19N07.2k.1	Distant eQTL	1	single	2011	NA
H19N07.4a.2	Distant eQTL	1	single	2011	NA
H20J04.3.1	Distant eQTL	3	single	131	NA
H20J04.4a.1	Distant eQTL	2	single	353	NA
H24G06.1a.1	Distant eQTL	1	single	2011	NA
H29C22.1.2	Distant eQTL	1	single	2011	NA
H30A04.1a.2	Distant eQTL	1	single	2011	NA
H32C10.1b.1	Distant eQTL	1	single	2011	NA
H37A05.4a.1	Distant eQTL	3	both	131	NA
H37N21.1.1	Distant eQTL	1	single	2011	NA
H40L08.2b.1	Distant eQTL	1	single	2011	NA
H43I07.1a.1	Distant eQTL	1	single	2011	NA
H43I07.1b.1	Distant eQTL	1	single	2011	NA
H43I07.3a.1	Distant eQTL	1	single	2011	NA
JC8.6c.1	Distant eQTL	1	single	2011	NA
JC8.6d.1	Distant eQTL	3	single	131	NA
K01A11.1.1	Distant eQTL	1	single	2011	NA
K01A12.4.1	Distant eQTL	1	single	2011	NA
K01A2.11d.1	Distant eQTL	2	single	353	NA
K01A2.8d.1	Distant eQTL	3	both	131	NA
K01D12.12.1	Distant eQTL	1	both	2011	NA
K01D12.15.1	Distant eQTL	1	single	2011	NA
K01D12.3	Distant eQTL	1	single	2011	NA
K01D12.5.1	Distant eQTL	2	single	353	NA
K01G5.9.1	Distant eQTL	1	both	2011	NA
K02B12.6.1	Distant eQTL	1	single	2011	NA
K02C4.4a.1	Distant eQTL	3	single	131	NA
K02D10.5.2	Distant eQTL	1	single	2011	NA
K02E10.4a.2	Distant eQTL	1	single	2011	NA
K02E10.4b.1	Distant eQTL	1	single	2011	NA
K02E2.4.1	Distant eQTL	2	both	353	NA
K02E2.6.1	Distant eQTL	1	single	2011	NA
K02E7.9.1	Distant eQTL	1	single	2011	NA
K02F2.4.1	Distant eQTL	3	single	131	NA
K02F3.11.1	Distant eQTL	1	single	2011	NA
K02F3.12a.1	Distant eQTL	1	both	2011	NA
K02F3.4.1	Distant eQTL	1	single	2011	NA
K02G10.1.1	Distant eQTL	1	single	2011	NA
K03A1.6.1	Distant eQTL	1	single	2011	NA
K03A11.2.1	Distant eQTL	1	both	2011	NA
K03D7.7.1	Distant eQTL	1	both	2011	NA
K04A8.4a.1	Distant eQTL	1	single	2011	NA
K04A8.6a.2	Distant eQTL	1	single	2011	NA
K04B12.1.1	Distant eQTL	1	single	2011	NA
K04D7.2b.2	Distant eQTL	3	single	131	NA
K04E7.3.1	Distant eQTL	2	single	353	NA
K04F10.2.2	Distant eQTL	1	single	2011	NA
K04F10.4g.1	Distant eQTL	1	single	2011	NA
K04G11.2.1	Distant eQTL	1	single	2011	NA
K04G2.1.2	Distant eQTL	1	single	2011	NA
K04G2.7a.1	Distant eQTL	1	single	2011	NA
K04G7.3a.1	Distant eQTL	1	single	2011	NA
K04H4.2a.1	Distant eQTL	1	single	2011	NA
K04H4.2a.2	Distant eQTL	2	single	353	NA
K04H4.2b.1	Distant eQTL	2	single	353	NA
K04H4.2c.1	Distant eQTL	1	single	2011	NA
K05B2.5c.1	Distant eQTL	1	single	2011	NA
K05F6.10.1	Distant eQTL	2	both	353	NA
K05F6.15	Distant eQTL	1	single	2011	NA
K05F6.16	Distant eQTL	2	single	353	NA
K05G3.3.1	Distant eQTL	1	single	2011	NA
K06A4.8	Distant eQTL	1	single	2011	NA
K06A5.4.1	Distant eQTL	1	single	2011	NA
K06A9.1e.1	Distant eQTL	1	single	2011	NA
K06A9.1g.1	Distant eQTL	1	both	2011	NA
K06B9.4	Distant eQTL	1	both	2011	NA
K06C4.10.1	Distant eQTL	2	both	353	NA
K06C4.11.1	Distant eQTL	1	single	2011	NA
K06C4.12.1	Distant eQTL	1	both	2011	NA
K06C4.17.1	Distant eQTL	3	single	131	NA
K06C4.3.1	Distant eQTL	1	single	2011	NA
K06C4.4.1	Distant eQTL	1	both	2011	NA
K06C4.5.1	Distant eQTL	1	both	2011	NA
K06H6.1.1	Distant eQTL	1	single	2011	NA
K07A1.4.1	Distant eQTL	1	single	2011	NA
K07A1.9d.1	Distant eQTL	1	single	2011	NA
K07A12.1.1	Distant eQTL	1	single	2011	NA
K07A9.3.2	Distant eQTL	1	single	2011	NA
K07B1.6b.2	Distant eQTL	1	both	2011	NA
K07C11.7a.1	Distant eQTL	1	single	2011	NA
K07C6.5.1	Distant eQTL	1	single	2011	NA
K07D4.1	Distant eQTL	1	both	2011	NA
K07D4.7a.1	Distant eQTL	1	single	2011	NA
K07E3.8.2	Distant eQTL	1	single	2011	NA
K07G5.6.2	Distant eQTL	2	single	353	NA
K07H8.2a.2	Distant eQTL	1	single	2011	NA
K07H8.2b.2	Distant eQTL	1	single	2011	NA
K07H8.5.1	Distant eQTL	2	single	353	NA
K07H8.6a.2	Distant eQTL	1	single	2011	NA
K08A2.1.1	Distant eQTL	1	single	2011	NA
K08B4.3.1	Distant eQTL	1	single	2011	NA
K08B4.5	Distant eQTL	1	single	2011	NA
K08C9.4.1	Distant eQTL	1	single	2011	NA
K08D10.12a.2	Distant eQTL	1	single	2011	NA
K08D10.2a.1	Distant eQTL	1	single	2011	NA
K08D12.3b.1	Distant eQTL	1	single	2011	NA
K08D12.5a.1	Distant eQTL	1	single	2011	NA
K08D12.8.1	Distant eQTL	1	single	2011	NA
K08D8.4a.1	Distant eQTL	3	single	131	NA
K08D8.4c.1	Distant eQTL	1	single	2011	NA
K08D8.4d.1	Distant eQTL	3	single	131	NA
K08D8.5.2	Distant eQTL	1	single	2011	NA
K08D9.9.1	Distant eQTL	1	both	2011	NA
K08E7.5a.1	Distant eQTL	1	single	2011	NA
K08E7.5a.2	Distant eQTL	3	single	131	NA
K08E7.9.2	Distant eQTL	1	single	2011	NA
K08F4.8.1	Distant eQTL	1	single	2011	NA
K08F8.1a.2	Distant eQTL	1	single	2011	NA
K08F8.1b.1	Distant eQTL	2	single	353	NA
K08F8.3.2	Distant eQTL	1	single	2011	NA
K08H10.1a.1	Distant eQTL	1	single	2011	NA
K08H10.5	Distant eQTL	1	both	2011	NA
K08H2.1.1	Distant eQTL	1	single	2011	NA
K08H2.3.1	Distant eQTL	1	single	2011	NA
K08H2.9.1	Distant eQTL	1	single	2011	NA
K09A11.4.1	Distant eQTL	1	single	2011	NA
K09B11.10.1	Distant eQTL	1	single	2011	NA
K09B11.5b.1	Distant eQTL	1	both	2011	NA
K09B11.9a.1	Distant eQTL	1	single	2011	NA
K09D9.11	Distant eQTL	1	single	2011	NA
K09D9.13.1	Distant eQTL	1	both	2011	NA
K09D9.2.1	Distant eQTL	2	single	353	NA
K09E3.4	Distant eQTL	1	single	2011	NA
K09E3.7.2	Distant eQTL	1	single	2011	NA
K09E9.3a.2	Distant eQTL	2	single	353	NA
K09E9.3b.1	Distant eQTL	1	single	2011	NA
K09F5.2.1	Distant eQTL	1	single	2011	NA
K09G1.4a.2	Distant eQTL	1	single	2011	NA
K09H11.7.1	Distant eQTL	1	both	2011	NA
K09H11.9.1	Distant eQTL	1	single	2011	NA
K09H9.7.1	Distant eQTL	1	single	2011	NA
K10C2.12.1	Distant eQTL	1	single	2011	NA
K10C8.1.1	Distant eQTL	1	single	2011	NA
K10C8.4.2	Distant eQTL	1	single	2011	NA
K10C9.3.2	Distant eQTL	1	single	2011	NA
K10C9.7.2	Distant eQTL	1	single	2011	NA
K10D11.1.1	Distant eQTL	1	single	2011	NA
K10D11.5.1	Distant eQTL	1	both	2011	NA
K10D3.6.1	Distant eQTL	1	single	2011	NA
K10G6.2.1	Distant eQTL	2	single	353	NA
K10G6.3b.1	Distant eQTL	2	both	353	NA
K10G9.3b.1	Distant eQTL	1	single	2011	NA
K11C4.5c.1	Distant eQTL	1	single	2011	NA
K11D12.13.2	Distant eQTL	1	single	2011	NA
K11D2.4e.1	Distant eQTL	1	single	2011	NA
K11D2.5.2	Distant eQTL	1	both	2011	NA
K11D9.1b.1	Distant eQTL	1	single	2011	NA
K11H3.8a.1	Distant eQTL	1	single	2011	NA
K11H3.8b.2	Distant eQTL	1	both	2011	NA
K12D12.5.2	Distant eQTL	1	single	2011	NA
K12G11.6.1	Distant eQTL	1	single	2011	NA
K12H4.1.1	Distant eQTL	1	single	2011	NA
K12H6.12.1	Distant eQTL	1	both	2011	NA
K12H6.6a.2	Distant eQTL	1	both	2011	NA
M01A10.2b.1	Distant eQTL	1	single	2011	NA
M01A10.3.2	Distant eQTL	1	single	2011	NA
M01B12.3.2	Distant eQTL	1	both	2011	NA
M01B2.10.1	Distant eQTL	1	both	2011	NA
M01D7.7b.1	Distant eQTL	1	both	2011	NA
M01E10.2a.1	Distant eQTL	1	single	2011	NA
M01E5.2.1	Distant eQTL	1	both	2011	NA
M01E5.5a.1	Distant eQTL	1	single	2011	NA
M01F1.1.1	Distant eQTL	1	single	2011	NA
M01G12.12.2	Distant eQTL	1	both	2011	NA
M01G12.14.1	Distant eQTL	1	both	2011	NA
M01G12.7.1	Distant eQTL	2	both	353	NA
M01G5.1.1	Distant eQTL	1	both	2011	NA
M02A10.2f.1	Distant eQTL	1	single	2011	NA
M02D8.3.1	Distant eQTL	1	single	2011	NA
M02E1.3.1	Distant eQTL	2	both	353	NA
M02F4.1.1	Distant eQTL	1	single	2011	NA
M02G9.1a.1	Distant eQTL	2	single	353	NA
M02G9.1b.1	Distant eQTL	2	single	353	NA
M03A1.7.2	Distant eQTL	1	single	2011	NA
M03B6.3.1	Distant eQTL	1	single	2011	NA
M03C11.2.2	Distant eQTL	1	single	2011	NA
M03C11.7.2	Distant eQTL	1	single	2011	NA
M03D4.1d.1	Distant eQTL	1	single	2011	NA
M03E7.2.1	Distant eQTL	1	single	2011	NA
M03E7.4.1	Distant eQTL	3	single	131	NA
M03F4.6.2	Distant eQTL	2	single	353	NA
M03F8.1.1	Distant eQTL	1	single	2011	NA
M03F8.2b.1	Distant eQTL	2	single	353	NA
M04B2.4.2	Distant eQTL	1	single	2011	NA
M04B2.5c.1	Distant eQTL	1	single	2011	NA
M04D5.1.1	Distant eQTL	1	single	2011	NA
M110.10.1	Distant eQTL	1	single	2011	NA
M110.4a.1	Distant eQTL	1	single	2011	NA
M116.5.1	Distant eQTL	2	both	353	NA
M117.3.1	Distant eQTL	1	single	2011	NA
M117.6.1	Distant eQTL	2	single	353	NA
M142.4.1	Distant eQTL	2	single	353	NA
M151.2.1	Distant eQTL	1	single	2011	NA
M151.7.1	Distant eQTL	1	both	2011	NA
M18.5.1	Distant eQTL	1	single	2011	NA
M195.2b.1	Distant eQTL	3	single	131	NA
M195.3.2	Distant eQTL	1	single	2011	NA
M199.134.1	Distant eQTL	1	single	2011	NA
M28.10.1	Distant eQTL	1	single	2011	NA
M28.4.1	Distant eQTL	1	single	2011	NA
M6.1d.1	Distant eQTL	1	single	2011	NA
M60.2.2	Distant eQTL	3	single	131	NA
M60.4a.2	Distant eQTL	1	single	2011	NA
M88.6a.1	Distant eQTL	1	single	2011	NA
MTCE.23.1	Distant eQTL	1	single	2011	NA
MTCE.4.1	Distant eQTL	1	single	2011	NA
R02C2.8	Distant eQTL	1	both	2011	NA
R02D3.1a.2	Distant eQTL	1	single	2011	NA
R02D3.8.1	Distant eQTL	1	single	2011	NA
R02F2.9.1	Distant eQTL	1	single	2011	NA
R03A10.4a.2	Distant eQTL	1	single	2011	NA
R03A10.6.1	Distant eQTL	1	single	2011	NA
R03D7.5a.1	Distant eQTL	1	single	2011	NA
R03G5.2.2	Distant eQTL	1	single	2011	NA
R03G5.6.1	Distant eQTL	1	single	2011	NA
R04B3.2.1	Distant eQTL	1	single	2011	NA
R04B5.5.1	Distant eQTL	3	single	131	NA
R04D3.4.2	Distant eQTL	1	single	2011	NA
R05A10.2.1	Distant eQTL	1	single	2011	NA
R05D7.5c.1	Distant eQTL	1	single	2011	NA
R05G9R.1.1	Distant eQTL	2	single	353	NA
R05H10.5a.2	Distant eQTL	1	both	2011	NA
R05H10.7.1	Distant eQTL	1	single	2011	NA
R06A4.10c.1	Distant eQTL	2	single	353	NA
R06B9.1.1	Distant eQTL	1	single	2011	NA
R06B9.2a.1	Distant eQTL	1	single	2011	NA
R06B9.3.1	Distant eQTL	2	both	353	NA
R06B9.3.2	Distant eQTL	3	both	131	NA
R06F6.1.2	Distant eQTL	1	single	2011	NA
R07A4.4.1	Distant eQTL	2	single	353	NA
R07B1.3.1	Distant eQTL	1	single	2011	NA
R07B1.9.1	Distant eQTL	1	single	2011	NA
R07B7.2b.1	Distant eQTL	2	both	353	NA
R07B7.2c.1	Distant eQTL	2	both	353	NA
R07B7.2d.1	Distant eQTL	1	both	2011	NA
R07C12.1.1	Distant eQTL	2	both	353	NA
R07C3.11a.1	Distant eQTL	1	single	2011	NA
R07C3.12	Distant eQTL	1	both	2011	NA
R07C3.5.1	Distant eQTL	6	single	2	NA
R07D5.2.1	Distant eQTL	1	single	2011	NA
R07E3.4.1	Distant eQTL	1	single	2011	NA
R07E5.10.1	Distant eQTL	1	single	2011	NA
R07G3.3a.1	Distant eQTL	1	single	2011	NA
R07G3.3d.1	Distant eQTL	1	single	2011	NA
R07G3.3e.1	Distant eQTL	1	single	2011	NA
R07H5.9.1	Distant eQTL	1	single	2011	NA
R08B4.1.1	Distant eQTL	1	single	2011	NA
R08B4.1.2	Distant eQTL	1	single	2011	NA
R08B4.3.1	Distant eQTL	1	single	2011	NA
R08C7.13.1	Distant eQTL	1	single	2011	NA
R08C7.9.1	Distant eQTL	1	single	2011	NA
R08D7.3.2	Distant eQTL	1	single	2011	NA
R08H2.1.2	Distant eQTL	1	single	2011	NA
R09A8.9.1	Distant eQTL	1	both	2011	NA
R09E10.4	Distant eQTL	1	single	2011	NA
R09E10.5.1	Distant eQTL	1	single	2011	NA
R09E10.9	Distant eQTL	3	both	131	NA
R09F10.7.1	Distant eQTL	3	single	131	NA
R09G11.1.1	Distant eQTL	1	single	2011	NA
R09H10.6.1	Distant eQTL	1	single	2011	NA
R105.1.1	Distant eQTL	1	single	2011	NA
R107.8.1	Distant eQTL	2	single	353	NA
R10D12.14a.1	Distant eQTL	1	single	2011	NA
R10E11.1b.1	Distant eQTL	1	single	2011	NA
R10E4.2g.2	Distant eQTL	3	single	131	NA
R10E4.9.2	Distant eQTL	1	single	2011	NA
R10E8.6.1	Distant eQTL	3	single	131	NA
R11.3.1	Distant eQTL	1	single	2011	NA
R119.6.2	Distant eQTL	1	both	2011	NA
R11A5.1a.2	Distant eQTL	1	single	2011	NA
R11A5.4a.1	Distant eQTL	1	single	2011	NA
R11A5.4b.2	Distant eQTL	1	single	2011	NA
R11A8.7e.1	Distant eQTL	1	single	2011	NA
R11G1.1.1	Distant eQTL	3	single	131	NA
R11G1.7.2	Distant eQTL	1	single	2011	NA
R11H6.2.2	Distant eQTL	1	single	2011	NA
R11H6.4c.1	Distant eQTL	1	single	2011	NA
R12A1.2a.1	Distant eQTL	1	single	2011	NA
R12A1.3a.1	Distant eQTL	2	single	353	NA
R12B2.2.1	Distant eQTL	1	single	2011	NA
R12C12.10.2	Distant eQTL	1	single	2011	NA
R12C12.8b	Distant eQTL	2	both	353	NA
R12E2.10.1	Distant eQTL	1	both	2011	NA
R12E2.10.2	Distant eQTL	1	both	2011	NA
R12E2.13.2	Distant eQTL	1	single	2011	NA
R12E2.4b.1	Distant eQTL	1	both	2011	NA
R13.4b.1	Distant eQTL	1	single	2011	NA
R13.5	Distant eQTL	3	both	131	NA
R13A5.5.2	Distant eQTL	2	single	353	NA
R13A5.7.2	Distant eQTL	1	single	2011	NA
R13A5.8.2	Distant eQTL	1	single	2011	NA
R13D11.11	Distant eQTL	1	single	2011	NA
R13F6.6a.2	Distant eQTL	1	single	2011	NA
R13H4.2a.2	Distant eQTL	1	single	2011	NA
